CPU名,PassMark,CR15 Single,CR15 Multi,定格クロック(GHz),最大クロック(GHz),TDP(W),コア,スレッド,価格,販売年,プロセス
Athlon 220GE,4472,139,389,3.4,3.4,35,2,4,8400,2018,14
Athlon 3000G,4617,141,398,3.5,3.5,35,2,4,7800,2019,12
Core i3 7320,4936,170,435,4.1,4.1,51,2,4,17880,2017,14
Core i3 7350K,5100,178,457,4.2,4.2,60,2,4,20160,2017,14
Core i5 8600,10058,180,1023,3.1,4.3,65,6,6,31000,2018,14
Core i5 8600K,10172,179,1038,3.6,4.3,95,6,6,34000,2018,14
Core i5 9600K,10876,202,1094,3.7,4.6,95,6,6,26000,2018,14
Core i7 10700K,19701,228,2334,3.8,5.1,125,8,16,55000,2019,10
Core i7 7700K,9794,193,988,4.2,4.5,95,4,8,48000,2017,14
Core i7 8086K,14705,204,1401,4,5,95,6,12,60000,2018,14
Core i7 8700,13319,182,1349,3.2,4.6,65,6,12,37000,2018,14
Core i7 8700K,13865,197,1364,3.7,4.7,95,6,12,44000,2018,14
Core i7 9700,13913,191,1377,3,4.7,65,8,8,40000,2018,14
Core i7 9700F,14129,193,1373,3,4.7,65,8,8,36000,2018,14
Core i7 9700K,14673,215,1552,3.6,4.9,95,8,8,45000,2018,14
Core i9 10900K,24046,229,2632,3.7,5.3,125,10,20,72000,2019,10
Core i9 9900,17264,203,1822,3.1,5,65,8,16,53000,2018,14
Core i9 9900K,18913,220,2038,3.6,5,95,8,16,57000,2018,14
Core i9 9900KF,18768,220,2048,3.6,5,95,8,16,54000,2018,14
Core i9 9900KS,19980,222,2202,4,5,127,8,16,66000,2018,14
Ryzen 5 1600,12354,146,1155,3.2,3.6,65,6,12,26280,2017,14
Ryzen 5 1600X,13351,162,1309,3.6,4,95,6,12,29880,2017,14
Ryzen 5 2600,13306,158,1235,3.4,3.9,65,6,12,17000,2018,12
Ryzen 5 2600X,14185,173,1386,3.6,4.2,95,6,12,21000,2018,12
Ryzen 5 3600,17781,196,1575,3.6,4.2,65,6,12,25000,2019,7
Ryzen 5 3600X,18332,204,1640,3.8,4.4,95,6,12,30000,2019,7
Ryzen 7 1700,13777,125,1417,3,3.7,65,8,16,39480,2017,14
Ryzen 7 1700X,14634,134,1531,3.4,3.8,95,8,16,47880,2017,14
Ryzen 7 2700,15725,164,1535,3.2,4.1,65,8,16,25000,2018,12
Ryzen 7 2700X,17618,176,1786,3.7,4.3,105,8,16,29000,2018,12
Ryzen 7 3700X,22711,203,2136,3.6,4.4,65,8,16,40000,2018,7
Ryzen 7 3800X,23340,211,2216,3.9,4.5,105,8,16,45000,2019,7
Ryzen 9 3900X,32858,213,3134,3.8,4.6,105,12,24,61000,2019,7
Ryzen 9 3950X,39314,212,4025,3.5,4.7,105,16,32,94000,2019,7
Ryzen Threadripper 3990X,76518,202,10320,2.9,4.3,280,64,128,399000,2019,7
Xeon W-3175X,33538,165,5368,3.1,3.8,255,28,56,299900,2019,14
Celeron J4105,3000,73,270,2.5,2.5,10,4,4,12840,2017,14
Pentium Silver J5005,3034,82,302,1.5,2.8,10,4,4,14800,2017,14
